time,U_avg,P_avg,phi_avg
100,0.986019236561797,0.6182562256249999,2.7870557879308826e-06
200,1.432630611479011,106.29689625,2.102388678235294e-06
300,0.9685073244984127,10.443721775,2.7159048963161763e-06
400,1.0768840816853817,10.38178831675,1.9667701339705883e-06
500,2.174779913960122,29.761302625000003,4.04839557132353e-06
600,0.9855226812292666,1.9477196325000001,2.7777176924779412e-06
700,1.0222946823302625,1.026787915,2.6827806408088238e-06
800,1.3523411195444122,-3.44736185,2.2785865320588234e-06
900,5.488193660983998,172.78085125,1.921074322720588e-06
1000,1.0037647482027694,0.49801355550000004,2.8410133377058825e-06
